no,id,begin,end,elevation,lat,lon,name,region
31,3236,19310101,20150422,89,52.2044,8.3382,Melle                                    ,Niedersachsen
32,3333,19310101,20150228,32,53.4074,9.6974,Moisburg                                 ,Niedersachsen
33,3395,19310101,20150228,122,51.4393,9.6433,MǏ_nden-Gimte                             ,Niedersachsen
34,3558,19310101,20150423,40,52.5036,9.4778,Neustadt am RǏ_benberge                   ,Niedersachsen
35,3827,19310101,20150422,15,53.2332,8.8076,Osterholz-Scharmbeck                     ,Niedersachsen
36,3829,19310101,20150422,260,51.737,10.2456,Osterode/Harz                            ,Niedersachsen
37,3848,19310101,20150423,17,53.1391,9.1506,Ottersberg-Otterstedt                    ,Niedersachsen
38,3853,19310101,20150423,2,53.3821,8.449,OvelgǏ_nne                                ,Niedersachsen
39,4078,19310101,20150423,16,53.2424,8.2241,Rastede                                  ,Niedersachsen
40,4275,19010101,20150423,32,53.1288,9.3395,Rotenburg (WǏ_mme)                        ,Niedersachsen
41,4362,19310101,20150422,153,52.125,10.2918,Salzgitter-Lichtenberg                   ,Niedersachsen
42,4365,19310101,20150422,41,53.2227,10.1751,"Salzhausen, Kreis Harburg                ",Niedersachsen
43,4403,19310101,20150228,5,53.1032,7.6838,Saterland-Ramsloh                        ,Niedersachsen
44,4601,19310101,20150423,28,52.6796,9.6521,Essel                                    ,Niedersachsen
45,4683,19310101,20150423,46,52.5158,7.6763,FǏ_rstenau                                ,Niedersachsen
46,4686,19310101,20150422,188,52.0539,9.9088,Sibbesse                                 ,Niedersachsen
47,4745,18910531,20150423,76,52.9604,9.7931,Soltau                                   ,Niedersachsen
48,4790,19310101,20150423,98,52.2047,9.5511,Springe                                  ,Niedersachsen
49,4841,19310101,20150423,1,53.6946,8.8735,"Steinau, Kr. Cuxhaven                    ",Niedersachsen
50,5148,19310101,20150423,60,52.4586,10.1888,Uetze                                    ,Niedersachsen
51,5180,19310101,20150422,190,51.6662,9.6369,Uslar                                    ,Niedersachsen
52,5196,19310101,20150228,7,53.3835,8.1322,Varel                                    ,Niedersachsen
53,5200,19310101,20150422,41,52.7563,8.3012,Vechta                                   ,Niedersachsen
54,5209,19310101,20150423,21,52.9585,9.227,Verden-Dauelsen                          ,Niedersachsen
55,5237,19310101,20150422,52,53.0049,9.6005,VisselhǏ_vede                             ,Niedersachsen
56,5333,19310101,20150422,41,52.8682,9.5991,Walsrode                                 ,Niedersachsen
57,5342,19310101,20150422,1,53.7081,7.9747,Wangerland-Minsen                        ,Niedersachsen
58,5382,19310101,20150423,39,52.5883,9.7385,Wedemark-Elze                            ,Niedersachsen
59,5518,19310101,20150423,7,53.2504,7.9349,Westerstede                              ,Niedersachsen
60,5552,19310101,20150422,11,53.4254,7.7385,Wiesmoor                                 ,Niedersachsen
61,5637,19310101,20150422,95,52.1705,10.6698,Dettum                                   ,Niedersachsen
62,5676,19310101,20150423,82,52.3961,10.6898,Wolfsburg (SǏ_dwest)                      ,Niedersachsen
63,5831,19310101,20150228,100,52.5319,8.1858,Damme/Niedersachsen                      ,Niedersachsen
64,5855,19310101,20150422,198,51.4333,9.9315,Friedland-GroǏ_ Schneen                   ,Niedersachsen
